# Version: 858be4c112 p-2023.3-push-67
# Command Line: cov-analyze --dir idir
timer                                                                                     ms      calls
    IFACE_TRACKER                                                                          0          6
    INCOMPATIBLE_CAST                                                                      0          2
    INFINITE_LOOP                                                                          0          2
    INVALIDATE_ITERATOR                                                                    0          2
      INVALIDATE_ITERATOR                                                                  0          2
    MISMATCHED_ITERATOR                                                                    0          2
    MISSING_BREAK                                                                          0          2
    MISSING_COMMA                                                                          0          2
    MISSING_RESTORE                                                                        0          2
    MISSING_RETURN                                                                         0          2
    MULTIPLE_INIT_SMART_PTRS                                                               0          2
    NATIVE_PTR_USE_SINK                                                                    0          2
    NEGATIVE_RETURNS                                                                       0          2
    NESTING_INDENT_MISMATCH                                                                0          2
    NO_EFFECT                                                                              0          2
    NULL_RETURNS                                                                           0          2
    OVERFLOW_BEFORE_WIDEN                                                                  0          2
    OVERLAPPING_COPY_INTERNAL                                                              0          2
    OVERRUN                                                                                0          2
    OVERRUN_SYMBOLIC                                                                       0          2
    PASS_BY_VALUE                                                                          0          2
    PRECEDENCE_ERROR                                                                       0          2
    PRINTF_ARGS                                                                            0          2
    READLINK                                                                               0          2
    RELAX_ACCESS_DBUFFER                                                                   0          2
    RELAX_AFM_ALLOC                                                                        0          2
    RELAX_AFM_FREE                                                                         0          2
    RELAX_ALLOC                                                                            0          2
    RELAX_BUFFER_SIZE                                                                      0          2
    RELAX_CHECKED_RETURN                                                                   0          2
    RELAX_DELETE_ARRAY                                                                     0          2
    RELAX_DEREF_ARGS                                                                       0          2
    RELAX_DIVISOR                                                                          0          2
    RELAX_FREED_ARGS                                                                       0          2
    RELAX_GLOBAL_INIT_ORDER_SOURCE                                                         0          2
    RELAX_INDEX_GENERIC                                                                    0          2
    RELAX_MAYWRITE_NONPTR_FIELDS                                                           0          2
    RELAX_NEGATIVE_RETURN                                                                  0          2
    RELAX_NEGATIVE_SINK                                                                    0          2
    RELAX_NEW_ARRAY                                                                        0          2
    RELAX_NOTHING                                                                          0          2
